time	V(out_1)	V(out_2)	V(out_3)	V(out_4)
1.665432131403385e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.680046417117679e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.694660702831973e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.709274988546267e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.723889274260561e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.738503559974855e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.738603559974855e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.753217845689149e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.767832131403443e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.782446417117737e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.797060702832031e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.811674988546325e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.826289274260619e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.840903559974913e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.841003559974913e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.855617845689207e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.870232131403501e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.884846417117795e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.899460702832089e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.914074988546383e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.928689274260677e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.943303559974971e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.943403559974971e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.958017845689236e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.972632131403502e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
1.987246417117767e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.001860702832032e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.016474988546298e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.031089274260563e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.045703559974829e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.045803559974828e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.060417845689091e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.075032131403353e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.089646417117615e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.104260702831877e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.118874988546140e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.133489274260402e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.148103559974664e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.148203559974664e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.162817845688926e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.177432131403189e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.192046417117451e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.206660702831713e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.221274988545976e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.235889274260238e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.250503559974500e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.250603559974500e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.265217845688762e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.279832131403025e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.294446417117287e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.309060702831549e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.323674988545812e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.338289274260074e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.352903559974336e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.353003559974336e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.367617845688598e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.382232131402861e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.396846417117123e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.411460702831385e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.426074988545648e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.440689274259910e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.455303559974172e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.455403559974172e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.557803559974008e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.660203559973844e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.762603559973680e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.865003559973516e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
2.967403559973352e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.069803559973188e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.172203559973024e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.274603559972860e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.377003559972696e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.479403559972532e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.581803559972368e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.684203559972204e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.786603559972040e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.889003559971876e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
3.991403559972081e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.093803559972361e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.196203559972641e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.298603559972921e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.401003559973201e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.503403559973481e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.605803559973761e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.708203559974041e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.810603559974321e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
4.913003559974601e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.015403559974881e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.117803559975161e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.220203559975442e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.322603559975722e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.425003559976002e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.527403559976282e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.629803559976562e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.732203559976842e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.834603559977122e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
5.937003559977402e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.039403559977682e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.141803559977962e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.244203559978242e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.346603559978522e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.449003559978802e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.551403559979082e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.653803559979362e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.756203559979642e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.858603559979922e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
6.961003559980202e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.063403559980482e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.165803559980762e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.268203559981042e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.370603559981322e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.473003559981603e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.575403559981883e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
7.677803559982163e-03	2.450003e-01	2.450003e-01	2.450003e-01	2.450003e-01
