time	V(out)	V(outr)
2.586778571427868e-03	4.146314e-01	4.193411e-01
2.601392857142130e-03	4.184827e-01	4.232065e-01
2.616007142856392e-03	4.223019e-01	4.270391e-01
2.630621428570654e-03	4.260890e-01	4.308388e-01
2.645235714284917e-03	4.298441e-01	4.346057e-01
2.659849999999179e-03	4.335670e-01	4.383398e-01
2.659949999999179e-03	4.335924e-01	4.383652e-01
2.674564285713441e-03	4.372822e-01	4.420653e-01
2.689178571427704e-03	4.409388e-01	4.457314e-01
2.703792857141966e-03	4.445622e-01	4.493636e-01
2.718407142856228e-03	4.481524e-01	4.529619e-01
2.733021428570490e-03	4.517094e-01	4.565263e-01
2.747635714284753e-03	4.552331e-01	4.600568e-01
2.762249999999015e-03	4.587237e-01	4.635534e-01
2.762349999999015e-03	4.587474e-01	4.635772e-01
2.776964285713277e-03	4.622040e-01	4.670392e-01
2.791578571427540e-03	4.656271e-01	4.704671e-01
2.806192857141802e-03	4.690167e-01	4.738610e-01
2.820807142856064e-03	4.723729e-01	4.772209e-01
2.835421428570326e-03	4.756957e-01	4.805468e-01
2.850035714284589e-03	4.789849e-01	4.838387e-01
2.864649999998851e-03	4.822407e-01	4.870965e-01
2.864749999998851e-03	4.822629e-01	4.871187e-01
2.879364285713113e-03	4.854850e-01	4.903423e-01
2.893978571427376e-03	4.886741e-01	4.935325e-01
2.908592857141638e-03	4.918303e-01	4.966894e-01
2.923207142855900e-03	4.949535e-01	4.998128e-01
2.937821428570162e-03	4.980438e-01	5.029029e-01
2.952435714284425e-03	5.011012e-01	5.059596e-01
2.967049999998687e-03	5.041255e-01	5.089829e-01
2.967149999998687e-03	5.041462e-01	5.090035e-01
2.981764285712949e-03	5.071377e-01	5.119935e-01
2.996378571427212e-03	5.100973e-01	5.149513e-01
3.010992857141474e-03	5.130250e-01	5.178769e-01
3.025607142855736e-03	5.159207e-01	5.207701e-01
3.040221428569998e-03	5.187846e-01	5.236311e-01
3.054835714284261e-03	5.216165e-01	5.264599e-01
3.069449999998523e-03	5.244165e-01	5.292564e-01
3.069549999998523e-03	5.244355e-01	5.292755e-01
3.084164285712785e-03	5.272039e-01	5.320401e-01
3.098778571427048e-03	5.299418e-01	5.347739e-01
3.113392857141310e-03	5.326490e-01	5.374768e-01
3.128007142855572e-03	5.353257e-01	5.401490e-01
3.142621428569834e-03	5.379717e-01	5.427903e-01
3.157235714284097e-03	5.405872e-01	5.454008e-01
3.171849999998359e-03	5.431721e-01	5.479804e-01
3.171949999998359e-03	5.431896e-01	5.479980e-01
3.186564285712621e-03	5.457444e-01	5.505473e-01
3.201178571426884e-03	5.482702e-01	5.530674e-01
3.215792857141146e-03	5.507668e-01	5.555583e-01
3.230407142855408e-03	5.532344e-01	5.580200e-01
3.245021428569670e-03	5.556730e-01	5.604524e-01
3.259635714283933e-03	5.580824e-01	5.628555e-01
3.274249999998195e-03	5.604628e-01	5.652294e-01
3.274349999998195e-03	5.604790e-01	5.652456e-01
3.288964285712457e-03	5.628310e-01	5.675909e-01
3.303578571426719e-03	5.651554e-01	5.699086e-01
3.318192857140982e-03	5.674524e-01	5.721988e-01
3.332807142855244e-03	5.697219e-01	5.744613e-01
3.347421428569506e-03	5.719639e-01	5.766963e-01
3.362035714283769e-03	5.741785e-01	5.789037e-01
3.376649999998031e-03	5.763656e-01	5.810835e-01
3.376749999998031e-03	5.763805e-01	5.810983e-01
3.391364285712293e-03	5.785407e-01	5.832512e-01
3.405978571426555e-03	5.806751e-01	5.853782e-01
3.420592857140818e-03	5.827836e-01	5.874792e-01
3.435207142855080e-03	5.848662e-01	5.895543e-01
3.449821428569342e-03	5.869229e-01	5.916035e-01
3.464435714283605e-03	5.889537e-01	5.936267e-01
3.479049999997867e-03	5.909587e-01	5.956240e-01
3.479149999997867e-03	5.909724e-01	5.956376e-01
3.493764285712129e-03	5.929521e-01	5.976096e-01
3.508378571426391e-03	5.949075e-01	5.995572e-01
3.522992857140654e-03	5.968386e-01	6.014805e-01
3.537607142854916e-03	5.987453e-01	6.033795e-01
3.552221428569178e-03	6.006276e-01	6.052541e-01
3.566835714283441e-03	6.024857e-01	6.071043e-01
3.581449999997703e-03	6.043193e-01	6.089302e-01
3.581549999997703e-03	6.043318e-01	6.089427e-01
3.596164285711965e-03	6.061418e-01	6.107449e-01
3.610778571426227e-03	6.079288e-01	6.125242e-01
3.625392857140490e-03	6.096930e-01	6.142807e-01
3.640007142854752e-03	6.114344e-01	6.160143e-01
3.654621428569014e-03	6.131528e-01	6.177250e-01
3.669235714283276e-03	6.148483e-01	6.194130e-01
3.683849999997539e-03	6.165210e-01	6.210780e-01
3.683949999997538e-03	6.165323e-01	6.210893e-01
3.786349999997374e-03	6.276423e-01	6.321478e-01
3.800964285711637e-03	6.291423e-01	6.336407e-01
3.815578571425899e-03	6.306219e-01	6.351133e-01
3.830192857140161e-03	6.320812e-01	6.365656e-01
3.844807142854424e-03	6.335200e-01	6.379977e-01
3.859421428568686e-03	6.349386e-01	6.394096e-01
3.874035714282948e-03	6.363367e-01	6.408012e-01
3.888649999997211e-03	6.377146e-01	6.421725e-01
3.888749999997210e-03	6.377239e-01	6.421818e-01
3.903364285711525e-03	6.390818e-01	6.435333e-01
3.917978571425840e-03	6.404204e-01	6.448657e-01
3.932592857140154e-03	6.417396e-01	6.461788e-01
3.947207142854470e-03	6.430396e-01	6.474728e-01
3.961821428568785e-03	6.443202e-01	6.487475e-01
3.976435714283099e-03	6.455816e-01	6.500031e-01
3.991049999997414e-03	6.468236e-01	6.512395e-01
3.991149999997414e-03	6.468320e-01	6.512479e-01
4.005764285711740e-03	6.480551e-01	6.524655e-01
4.020378571426065e-03	6.492597e-01	6.536649e-01
4.034992857140391e-03	6.504459e-01	6.548459e-01
4.049607142854717e-03	6.516137e-01	6.560087e-01
4.064221428569043e-03	6.527630e-01	6.571532e-01
4.078835714283368e-03	6.538938e-01	6.582794e-01
4.093449999997694e-03	6.550062e-01	6.593873e-01
4.093549999997694e-03	6.550137e-01	6.593949e-01
